Comment,Designator,Footprint,LCSC Part #
"100n","C2, C3, C5, C6, C440, C430, C431","C0603","C14663"
"1N4148WS","D1, D2, D3, D4, D5, D6, D7, D8, D21, D22, D410, D412, D413, D414","SOD-323","C2128"
"LED-RED-0603","D9, D13, D14, D15, D16, D17, D103","LED-0603","C2286"
"LED-WHITE-0603","D10, D11, D12","LED-0603","C2290"
"B5819W","D18, D19, D23, D24, D25, D26, D31, D32, D416, D417, D101, D107, D440, D441","SOD-123","C8598"
"LED-GREEN-0603","D20, D104, D108, D751","LED-0603","C72043"
"PSM712-LF","D27, D30, D411","SOT-23","C32677"
"BAT54S","D28, D29, VD100, VD101, VD102, VD103","SOT-23","C47546"
"nSMD005","F1, F2, F6, F7","PAD-1206-PAD","C70064"
"nSMD050","F3, F4","PAD-1206-PAD","C720075"
"430451012","J1","Molex_Micro-Fit_3.0_43045-1012_2x05_P3.00mm_Vertical","C239457"
"USB_C_Receptacle_USB2.0","J6","USB_C_Receptacle_XKB_U262-16XN-4BVC11","C2927038"
"AO3401A","Q1, Q2, Q4, Q5, Q12, Q13, Q15, Q100, Q102","SOT-23","C15127"
"AO3400A","Q3, Q10, Q14, Q16, Q17, Q21, Q22, Q23, Q24, Q25, Q101, Q103","SOT-23","C20917"
"PJM2319PSA","Q18, Q19","SOT-23","C411720"
"4.7k","R1, R2, R5, R125, R170, R171, R175, R176, R180, R181, R185, R186, R190, R191, R196, R197, R200, R209, R218, R227, R236, R245, R257","R0603-4","C66697"
"5.6k","R3","R0603","C23189"
"Jumper-Pad-Pad","R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20","PAD-0805-PAD","C17477"
"2k","R21, R23, R34, R36","R1206","C17944"
"4.7k","R22, R24, R35, R37","R1206","C17936"
"4.7k","R27, R28, R29, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R61, R62, R63, R64, R66, R70, R71, R72, R73, R74","R0603","C23162"
"3.3k","R30, R67","R0603","C22978"
"750","R31","R0805","C17818"
"2.7k","R32, R33","R0603","C13167"
"SMD1206B035TF/16","R40, F100, F101","R1206","C269114"
"680k","R43, R44, R45, R46","R0603","C25822"
"220","R60","R0805","C17557"
"470","R65","R0805","C17710"
"1.2k","R68, R69","R0603","C22765"
"MPXH6400A","U1","MPXH6400A-SSOP8","C511770"
"47u","C410, C412","C1206","C96123"
"100n","C411, C413, C420","C0402","C307331"
"1u","C414, C415, C133, C755, C758, C761, C762, C763, C765, C766, C767","C0402","C52923"
"10u","C421, C422, C423, C424, C425, C426","C0603","C96446"
"4.7u","C427","C0603","C19666"
"10n","C428, C202, C208, C209, C210, C211, C212, C213, C214, C756, C757, C760, C764, C768, C769","C0402","C15195"
"220p","C429","C0402","C1530"
"SMCJ30A","D418","SMC","C310046"
"SS34","D420","SMA","C8678"
"P6SMB6.8CA","D421, D205","SMB","C78395"
"2.2uH","L420","L1210","C36828"
"MHT136UGCT","LED1, LED2, LED3, LED4","LED0402","C434447"
"6.8k","R410, R413","R0402","C25917"
"33k","R411, R424, R425","R0402","C25779"
"1","R420","R0402","C25086"
"10k","R421, R426, R427, R102, R107, R108, R109, R121, R124, R126, R127, R128, R132, R135, R136, R137, R138, R139, R141, R142, R232, R233, R234, R250, R251, R252, R253, R757, R762, R763, R767, R768","R0402","C25744"
"68k","R422, R760","R0402","C36871"
"12k","R423, R754","R0402","C25752"
"4.7k","R428, R144, R210, R212","R0402","C25900"
"MIC5205-3.3YM5","U410","SOT23-5","C37970"
"LMR14020","U420","SOP8","C187824"
"TJA1051T/3/1J","U100, U430","SO8","C38695"
"SRV05-4-P-T7","D102, D200, D201, D202, D203, D204, D206, D207, U751","SOT23-6","C85364"
"SN74LVC4245APWR","U103","TSSOP24","C7859"
"SN74LVC1G06DCKR","U110","SOT-353","C7828"
"REF3033","U102","SOT-23","C36658"
"PESD1CAN","D100, D430","SOT-23","C343993"
"NC7SB3157P6X","U270, U275, U280, U285, U755, U756","SOT-363","C87403"
"MCP6004","U175, U180, U185, U195, U753","TSSOP14","C50282"
"LPS22HBTR","U107","HLGA-10L","C94049"
"LIS2DH12TR","U106","LGA12","C110926"
"LED-YELLOW-0603","D106","LED-0603","C72038"
